taxonomic_level	taxon	healthy_control_mean	idiopathic_central_precocious_puberty_mean	mean_delta_g2_minus_g1	healthy_control_detected	idiopathic_central_precocious_puberty_detected	p_value	q_value
genus	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halomonadaceae;g__Halomonas	0.00000000	0.00007284	0.00007284	0	1	0.820413	0.906929
genus	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Enhydrobacter	0.00007252	0.00000000	-0.00007252	2	0	0.613123	0.906929
genus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Tuzzerella	0.00025054	0.00032021	0.00006967	3	6	0.577381	0.906929
genus	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Leptotrichia	0.00000000	0.00006917	0.00006917	0	2	0.6424	0.906929
genus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Phocea	0.00008990	0.00002182	-0.00006808	5	3	0.522326	0.906929
genus	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Proteiniphilum	0.00000000	0.00006297	0.00006297	0	2	0.6424	0.906929
genus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__[Eubacterium]_brachy_group	0.00000000	0.00006270	0.00006270	0	3	0.48288	0.906929
genus	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Mannheimia	0.00006665	0.00000497	-0.00006168	2	1	0.772638	0.906929
genus	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Pseudarthrobacter	0.00000000	0.00006139	0.00006139	0	3	0.48288	0.906929
genus	d__Bacteria;p__Proteobacteria;__;__;__;__	0.00000000	0.00006112	0.00006112	0	1	0.820413	0.906929
genus	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;__	0.00000000	0.00006071	0.00006071	0	2	0.6424	0.906929
